㐷	U+3437
龈	U+9F88
龉	U+9F89
龊	U+9F8A
龋	U+9F8B
龌	U+9F8C
龓	U+9F93
龙	U+9F99
龚	U+9F9A
龛	U+9F9B
龭	U+9FAD
龯	U+9FAF
鿁	U+9FC1
鿎	U+9FCE
鿏	U+9FCF
鿒	U+9FD2
鿓	U+9FD3
鿔	U+9FD4
𠀾	U+2003E
𠁞	U+2005E
𠆲	U+201B2
𠆿	U+201BF
𠇹	U+201F9
𠉂	U+20242
𠉗	U+20257
𠋆	U+202C6
𠌥	U+20325
𠏢	U+203E2
𠐊	U+2040A
𠗣	U+205E3
𠚳	U+206B3
𠛅	U+206C5
𠛆	U+206C6
𠛾	U+206FE
𠞆	U+20786
𠠎	U+2080E
𠡠	U+20860
𠬙	U+20B19
𠮶	U+20BB6
𠯟	U+20BDF
𠯠	U+20BE0
𠰱	U+20C31
𠰷	U+20C37
𠱞	U+20C5E
𠲥	U+20CA5
𠴛	U+20D1B
𠴢	U+20D22
𠵸	U+20D78
𠵾	U+20D7E
𠽃	U+20F43
𠿕	U+20FD5
𡂡	U+210A1
𡃄	U+210C4
𡃕	U+210D5
𡃤	U+210E4
𡄔	U+21114
𡄣	U+21123
𡅏	U+2114F
𡅯	U+2116F
𡋀	U+212C0
𡋗	U+212D7
𡋤	U+212E4
𡍣	U+21363
𡑍	U+2144D
𡑭	U+2146D
𡒄	U+21484
𡓁	U+214C1
𡓾	U+214FE
𡔖	U+21516
𡝠	U+21760
𡞋	U+2178B
𡞱	U+217B1
𡞵	U+217B5
𡟫	U+217EB
𡠟	U+2181F
𡠹	U+21839
𡢃	U+21883
𡥧	U+21967
𡭜	U+21B5C
𡭬	U+21B6C
𡮉	U+21B89
𡮣	U+21BA3
𡳃	U+21CC3
𡳒	U+21CD2
𡳳	U+21CF3
𡶴	U+21DB4
𡸃	U+21E03
𡸗	U+21E17
𡹬	U+21E6C
𡺃	U+21E83
𡺄	U+21E84
𡽗	U+21F57
𡾱	U+21FB1
𡿖	U+21FD6
𢋈	U+222C8
𢍰	U+22370
𢗓	U+225D3
𢘙	U+22619
𢘝	U+2261D
𢘞	U+2261E
𢙏	U+2264F
𢙐	U+22650
𢙑	U+22651
𢙒	U+22652
𢙓	U+22653
𢛯	U+226EF
𢠁	U+22801
𢠼	U+2283C
𢢐	U+22890
𢣐	U+228D0
𢣚	U+228DA
𢣭	U+228ED
𢤩	U+22929
𢤱	U+22931
𢤿	U+2293F
𢧐	U+229D0
𢫊	U+22ACA
𢫞	U+22ADE
𢫬	U+22AEC
𢬍	U+22B0D
𢬦	U+22B26
𢭏	U+22B4F
𢯷	U+22BF7
𢶒	U+22D92
𢶫	U+22DAB
𢷮	U+22DEE
𢹿	U+22E7F
𢺳	U+22EB3
𢽾	U+22F7E
𣃁	U+230C1
𣆐	U+23190
𣈣	U+23223
𣈶	U+23236
𣋋	U+232CB
𣍐	U+23350
𣍨	U+23368
𣍯	U+2336F
𣍰	U+23370
𣎑	U+23391
𣏢	U+233E2
𣐕	U+23415
𣐤	U+23424
𣑶	U+23476
𣒌	U+2348C
𣓿	U+234FF
𣔌	U+2350C
𣗊	U+235CA
𣗋	U+235CB
𣗙	U+235D9
𣘐	U+23610
𣘓	U+23613
𣘴	U+23634
𣘷	U+23637
𣙎	U+2364E
𣚚	U+2369A
𣜬	U+2372C
𣝕	U+23755
𣞎	U+2378E
𣞻	U+237BB
𣠩	U+23829
𣠲	U+23832
𣨼	U+23A3C
𣭤	U+23B64
𣯣	U+23BE3
𣯩	U+23BE9
𣯴	U+23BF4
𣯶	U+23BF6
𣱝	U+23C5D
𣲗	U+23C97
𣲘	U+23C98
𣳆	U+23CC6
𣶩	U+23DA9
𣶫	U+23DAB
𣶭	U+23DAD
𣷷	U+23DF7
𣸣	U+23E23
𣺼	U+23EBC
𣺽	U+23EBD
𣽏	U+23F4F
𣽷	U+23F77
𣾷	U+23FB7
𣿉	U+23FC9
𤁣	U+24063
𤄷	U+24137
𤅶	U+24176
𤆡	U+241A1
𤆢	U+241A2
𤇃	U+241C3
𤇄	U+241C4
𤇭	U+241ED
𤇹	U+241F9
𤈶	U+24236
𤈷	U+24237
𤊀	U+24280
𤊰	U+242B0
𤋏	U+242CF
𤎺	U+243BA
𤎻	U+243BB
𤑳	U+24473
𤑹	U+24479
𤒎	U+2448E
𤒻	U+244BB
𤓌	U+244CC
𤓎	U+244CE
𤓩	U+244E9
𤘀	U+24600
𤙯	U+2466F
𤛮	U+246EE
𤛱	U+246F1
𤜆	U+24706
𤝢	U+24762
𤞃	U+24783
𤞤	U+247A4
𤠋	U+2480B
𤠮	U+2482E
𤢟	U+2489F
𤢻	U+248BB
𤦀	U+24980
𤩂	U+24A42
𤩽	U+24A7D
𤪺	U+24ABA
𤫩	U+24AE9
𤬅	U+24B05
𤳄	U+24CC4
𤳷	U+24CF7
𤳸	U+24CF8
𤶊	U+24D8A
𤶧	U+24DA7
𤷃	U+24DC3
𤸫	U+24E2B
𤺔	U+24E94
𤻊	U+24ECA
𤽯	U+24F6F
𤾀	U+24F80
𤿲	U+24FF2
𥁢	U+25062
𥅘	U+25158
𥅴	U+25174
𥅿	U+2517F
𥆧	U+251A7
𥇢	U+251E2
𥊝	U+2529D
𥌃	U+25303
𥎝	U+2539D
𥏝	U+253DD
𥐟	U+2541F
𥐯	U+2542F
𥐰	U+25430
𥐻	U+2543B
𥕥	U+25565
𥖅	U+25585
𥖲	U+255B2
𥗇	U+255C7
𥗽	U+255FD
𥜐	U+25710
𥜰	U+25730
𥞦	U+257A6
𥞵	U+257B5
𥢢	U+258A2
𥢶	U+258B6
𥢷	U+258B7
𥧂	U+259C2
𥨐	U+25A10
𥩟	U+25A5F
𥩺	U+25A7A
𥪂	U+25A82
𥫣	U+25AE3
𥬀	U+25B00
𥬞	U+25B1E
𥬠	U+25B20
𥭉	U+25B49
𥮋	U+25B8B
𥮜	U+25B9C
𥮾	U+25BBE
𥯤	U+25BE4
𥱔	U+25C54
𥴨	U+25D28
𥴼	U+25D3C
𥵃	U+25D43
𥵊	U+25D4A
𥶽	U+25DBD
𥸠	U+25E20
𥹥	U+25E65
𥺅	U+25E85
𥺇	U+25E87
𥻦	U+25EE6
𥼽	U+25F3D
𥽖	U+25F56
𥾯	U+25FAF
𥿊	U+25FCA
𦀖	U+26016
𦂅	U+26085
𦃄	U+260C4
𦃩	U+260E9
𦅇	U+26147
𦅈	U+26148
𦆲	U+261B2
𦈈	U+26208
𦈉	U+26209
𦈋	U+2620B
𦈌	U+2620C
𦈎	U+2620E
𦈏	U+2620F
𦈐	U+26210
𦈑	U+26211
𦈒	U+26212
𦈓	U+26213
𦈔	U+26214
𦈕	U+26215
𦈖	U+26216
𦈗	U+26217
𦈘	U+26218
𦈙	U+26219
𦈚	U+2621A
𦈛	U+2621B
𦈜	U+2621C
𦈝	U+2621D
𦈞	U+2621E
𦈟	U+2621F
𦈠	U+26220
𦈡	U+26221
𦍠	U+26360
𦒀	U+26480
𦔖	U+26516
𦘧	U+26627
𦛨	U+266E8
𦝼	U+2677C
𦟗	U+267D7
𦟼	U+267FC
𦠅	U+26805
𦡝	U+2685D
𦢈	U+26888
𦣎	U+268CE
𦧺	U+269FA
𦨩	U+26A29
𦪙	U+26A99
𦪽	U+26ABD
𦰏	U+26C0F
𦰴	U+26C34
𦱌	U+26C4C
𦶟	U+26D9F
𦶻	U+26DBB
𦻕	U+26ED5
𦾟	U+26F9F
𧉐	U+27250
𧉞	U+2725E
𧌥	U+27325
𧎈	U+27388
𧏖	U+273D6
𧏗	U+273D7
𧑏	U+2744F
𧒭	U+274AD
𧒯	U+274AF
𧔥	U+27525
𧕟	U+2755F
𧜗	U+27717
𧜭	U+2772D
𧜵	U+27735
𧝝	U+2775D
𧝞	U+2775E
𧝧	U+27767
𧞫	U+277AB
𧟀	U+277C0
𧡴	U+27874
𧢄	U+27884
𧦝	U+2799D
𧦧	U+279A7
𧩕	U+27A55
𧩙	U+27A59
𧩼	U+27A7C
𧫝	U+27ADD
𧬤	U+27B24
𧭈	U+27B48
𧭹	U+27B79
𧮪	U+27BAA
𧳕	U+27CD5
𧳟	U+27CDF
𧵳	U+27D73
𧶔	U+27D94
𧶧	U+27DA7
𧷎	U+27DCE
𧸘	U+27E18
𧹈	U+27E48
𧹑	U+27E51
𧹒	U+27E52
𧹓	U+27E53
𧹔	U+27E54
𧹕	U+27E55
𧹖	U+27E56
𧹗	U+27E57
𧽯	U+27F6F
𧿈	U+27FC8
𨀁	U+28001
𨀱	U+28031
𨁴	U+28074
𨂐	U+28090
𨂺	U+280BA
𨄄	U+28104
𨄣	U+28123
𨅍	U+2814D
𨅛	U+2815B
𨅫	U+2816B
𨅬	U+2816C
𨆪	U+281AA
𨇁	U+281C1
𨇞	U+281DE
𨇤	U+281E4
𨇰	U+281F0
𨇽	U+281FD
𨈊	U+2820A
𨈌	U+2820C
𨉗	U+28257
𨊰	U+282B0
𨊸	U+282B8
𨊻	U+282BB
𨋢	U+282E2
𨌈	U+28308
𨍰	U+28370
𨎌	U+2838C
𨎮	U+283AE
𨏠	U+283E0
𨏥	U+283E5
𨐅	U+28405
𨐆	U+28406
𨐇	U+28407
𨐈	U+28408
𨐉	U+28409
𨐊	U+2840A
𨑹	U+28479
𨞺	U+287BA
𨟊	U+287CA
𨟳	U+287F3
𨠨	U+28828
𨡙	U+28859
𨡺	U+2887A
𨢿	U+288BF
𨣈	U+288C8
𨣞	U+288DE
𨣧	U+288E7
𨤰	U+28930
𨤻	U+2893B
𨥛	U+2895B
𨥟	U+2895F
𨦫	U+289AB
𨧀	U+289C0
𨧜	U+289DC
𨧰	U+289F0
𨧱	U+289F1
𨨏	U+28A0F
𨨛	U+28A1B
𨨢	U+28A22
𨩰	U+28A70
𨪕	U+28A95
𨫒	U+28AD2
𨬖	U+28B16
𨭆	U+28B46
𨭎	U+28B4E
𨭖	U+28B56
𨭸	U+28B78
𨮂	U+28B82
𨮳	U+28BB3
𨯅	U+28BC5
𨯟	U+28BDF
𨰃	U+28C03
𨰋	U+28C0B
𨰥	U+28C25
𨰲	U+28C32
𨰾	U+28C3E
𨰿	U+28C3F
𨱀	U+28C40
𨱁	U+28C41
𨱂	U+28C42
𨱃	U+28C43
𨱄	U+28C44
𨱅	U+28C45
𨱆	U+28C46
𨱇	U+28C47
𨱈	U+28C48
𨱉	U+28C49
𨱊	U+28C4A
𨱋	U+28C4B
𨱌	U+28C4C
𨱍	U+28C4D
𨱎	U+28C4E
𨱏	U+28C4F
𨱐	U+28C50
𨱑	U+28C51
𨱒	U+28C52
𨱓	U+28C53
𨱔	U+28C54
𨱕	U+28C55
𨱖	U+28C56
𨲳	U+28CB3
𨳑	U+28CD1
𨳕	U+28CD5
𨴗	U+28D17
𨴹	U+28D39
𨵩	U+28D69
𨵸	U+28D78
𨶀	U+28D80
𨶏	U+28D8F
𨶮	U+28DAE
𨶲	U+28DB2
𨷲	U+28DF2
𨷿	U+28DFF
𨸀	U+28E00
𨸁	U+28E01
𨸂	U+28E02
𨸃	U+28E03
𨸄	U+28E04
𨸅	U+28E05
𨸆	U+28E06
𨸇	U+28E07
𨸉	U+28E09
𨸊	U+28E0A
𨸋	U+28E0B
𨸌	U+28E0C
𨸎	U+28E0E
𨸘	U+28E18
𨸟	U+28E1F
𨼳	U+28F33
𨽏	U+28F4F
𩀨	U+29028
𩅙	U+29159
𩎖	U+29396
𩎢	U+293A2
𩏂	U+293C2
𩏠	U+293E0
𩏪	U+293EA
𩏷	U+293F7
𩏼	U+293FC
𩏽	U+293FD
𩏾	U+293FE
𩏿	U+293FF
𩐀	U+29400
𩑔	U+29454
𩒎	U+2948E
𩓋	U+294CB
𩓣	U+294E3
𩓥	U+294E5
𩔑	U+29511
𩔳	U+29533
𩖕	U+29595
𩖖	U+29596
𩖗	U+29597
𩖰	U+295B0
𩗀	U+295C0
𩗓	U+295D3
𩗴	U+295F4
𩘀	U+29600
𩘝	U+2961D
𩘹	U+29639
𩘺	U+2963A
𩙈	U+29648
𩙥	U+29665
𩙦	U+29666
𩙧	U+29667
𩙨	U+29668
𩙩	U+29669
𩙪	U+2966A
𩙫	U+2966B
𩙬	U+2966C
𩙭	U+2966D
𩙮	U+2966E
𩙯	U+2966F
𩙰	U+29670
𩚛	U+2969B
𩚥	U+296A5
𩚩	U+296A9
𩚵	U+296B5
𩛆	U+296C6
𩛌	U+296CC
𩛡	U+296E1
𩛩	U+296E9
𩜇	U+29707
𩜦	U+29726
𩜵	U+29735
𩝔	U+29754
𩝽	U+2977D
𩞄	U+29784
𩞦	U+297A6
𩞯	U+297AF
𩟐	U+297D0
𩟗	U+297D7
𩟿	U+297FF
𩠀	U+29800
𩠁	U+29801
𩠂	U+29802
𩠃	U+29803
𩠅	U+29805
𩠆	U+29806
𩠇	U+29807
𩠈	U+29808
𩠉	U+29809
𩠊	U+2980A
𩠋	U+2980B
𩠌	U+2980C
𩠎	U+2980E
𩠏	U+2980F
𩠠	U+29820
𩠴	U+29834
𩡖	U+29856
𩡣	U+29863
𩡺	U+2987A
𩢡	U+298A1
𩢴	U+298B4
𩢸	U+298B8
𩢾	U+298BE
𩣏	U+298CF
𩣑	U+298D1
𩣫	U+298EB
𩣵	U+298F5
𩣺	U+298FA
𩤊	U+2990A
𩤙	U+29919
𩤲	U+29932
𩤸	U+29938
𩥄	U+29944
𩥇	U+29947
𩥉	U+29949
𩥑	U+29951
𩦠	U+299A0
𩧆	U+299C6
𩧦	U+299E6
𩧨	U+299E8
𩧩	U+299E9
𩧪	U+299EA
𩧫	U+299EB
𩧬	U+299EC
𩧭	U+299ED
𩧮	U+299EE
𩧯	U+299EF
𩧰	U+299F0
𩧱	U+299F1
𩧲	U+299F2
𩧳	U+299F3
𩧴	U+299F4
𩧵	U+299F5
𩧶	U+299F6
𩧸	U+299F8
𩧺	U+299FA
𩧻	U+299FB
𩧼	U+299FC
𩧿	U+299FF
𩨀	U+29A00
𩨁	U+29A01
𩨂	U+29A02
𩨃	U+29A03
𩨄	U+29A04
𩨅	U+29A05
𩨆	U+29A06
𩨇	U+29A07
𩨈	U+29A08
𩨉	U+29A09
𩨊	U+29A0A
𩨋	U+29A0B
𩨌	U+29A0C
𩨍	U+29A0D
𩨎	U+29A0E
𩨏	U+29A0F
𩨐	U+29A10
𩩈	U+29A48
𩬣	U+29B23
𩬤	U+29B24
𩭙	U+29B59
𩭹	U+29B79
𩯁	U+29BC1
𩯒	U+29BD2
𩯳	U+29BF3
𩰀	U+29C00
𩰰	U+29C30
𩰹	U+29C39
𩲒	U+29C92
𩳤	U+29CE4
𩴌	U+29D0C
𩴵	U+29D35
𩵦	U+29D66
𩵩	U+29D69
𩵹	U+29D79
𩶁	U+29D81
𩶘	U+29D98
𩶰	U+29DB0
𩶱	U+29DB1
𩷰	U+29DF0
𩸃	U+29E03
𩸄	U+29E04
𩸡	U+29E21
𩸦	U+29E26
𩻗	U+29ED7
𩻬	U+29EEC
𩻮	U+29EEE
𩼶	U+29F36
𩽇	U+29F47
𩽹	U+29F79
𩽺	U+29F7A
𩽻	U+29F7B
𩽼	U+29F7C
𩽽	U+29F7D
𩽾	U+29F7E
𩽿	U+29F7F
𩾁	U+29F81
𩾂	U+29F82
𩾃	U+29F83
𩾄	U+29F84
𩾅	U+29F85
𩾆	U+29F86
𩾇	U+29F87
𩾈	U+29F88
𩾊	U+29F8A
𩾋	U+29F8B
𩾌	U+29F8C
𩾎	U+29F8E
𩿅	U+29FC5
𩿤	U+29FE4
𩿪	U+29FEA
𪀖	U+2A016
𪀦	U+2A026
𪀾	U+2A03E
𪁈	U+2A048
𪁖	U+2A056
𪂆	U+2A086
𪃍	U+2A0CD
𪃏	U+2A0CF
𪃒	U+2A0D2
𪃧	U+2A0E7
𪄆	U+2A106
𪄕	U+2A115
𪅂	U+2A142
𪆷	U+2A1B7
𪇳	U+2A1F3
𪈼	U+2A23C
𪉂	U+2A242
𪉃	U+2A243
𪉄	U+2A244
𪉅	U+2A245
𪉆	U+2A246
𪉈	U+2A248
𪉉	U+2A249
𪉊	U+2A24A
𪉋	U+2A24B
𪉌	U+2A24C
𪉍	U+2A24D
𪉎	U+2A24E
𪉏	U+2A24F
𪉐	U+2A250
𪉑	U+2A251
𪉒	U+2A252
𪉔	U+2A254
𪉕	U+2A255
𪉸	U+2A278
𪋿	U+2A2FF
𪌭	U+2A32D
𪍠	U+2A360
𪎈	U+2A388
𪎉	U+2A389
𪎊	U+2A38A
𪎋	U+2A38B
𪎌	U+2A38C
𪑅	U+2A445
𪓰	U+2A4F0
𪔭	U+2A52D
𪔵	U+2A535
𪘀	U+2A600
𪘯	U+2A62F
𪙏	U+2A64F
𪚏	U+2A68F
𪚐	U+2A690
𪜎	U+2A70E
𪞝	U+2A79D
𪟎	U+2A7CE
𪟖	U+2A7D6
𪟝	U+2A7DD
𪠀	U+2A800
𪠟	U+2A81F
𪠡	U+2A821
𪠳	U+2A833
𪠵	U+2A835
𪠸	U+2A838
𪠺	U+2A83A
𪠽	U+2A83D
𪡀	U+2A840
𪡃	U+2A843
𪡋	U+2A84B
𪡏	U+2A84F
𪡛	U+2A85B
𪡞	U+2A85E
𪡺	U+2A87A
𪢌	U+2A88C
𪢐	U+2A890
𪢒	U+2A892
𪢕	U+2A895
𪢖	U+2A896
𪢠	U+2A8A0
𪢮	U+2A8AE
𪢸	U+2A8B8
𪣆	U+2A8C6
𪣒	U+2A8D2
𪣻	U+2A8FB
𪤄	U+2A904
𪤚	U+2A91A
𪥠	U+2A960
𪥫	U+2A96B
𪥰	U+2A970
𪥿	U+2A97F
𪧀	U+2A9C0
𪧘	U+2A9D8
𪨊	U+2AA0A
𪨗	U+2AA17
𪨧	U+2AA27
𪨩	U+2AA29
𪨶	U+2AA36
𪨷	U+2AA37
𪨹	U+2AA39
𪩇	U+2AA47
𪩎	U+2AA4E
𪩘	U+2AA58
𪩛	U+2AA5B
𪩷	U+2AA77
𪩸	U+2AA78
𪪏	U+2AA8F
𪪑	U+2AA91
𪪞	U+2AA9E
𪪴	U+2AAB4
𪪼	U+2AABC
𪫌	U+2AACC
𪫡	U+2AAE1
𪫷	U+2AAF7
𪫺	U+2AAFA
𪬚	U+2AB1A
𪬯	U+2AB2F
𪭝	U+2AB5D
𪭢	U+2AB62
𪭧	U+2AB67
𪭯	U+2AB6F
𪭵	U+2AB75
𪭾	U+2AB7E
𪮃	U+2AB83
𪮋	U+2AB8B
𪮖	U+2AB96
𪮳	U+2ABB3
𪮶	U+2ABB6
𪯋	U+2ABCB
𪰶	U+2AC36
𪱥	U+2AC65
𪱷	U+2AC77
𪲎	U+2AC8E
𪲔	U+2AC94
𪲛	U+2AC9B
𪲮	U+2ACAE
𪳍	U+2ACCD
𪳗	U+2ACD7
𪴙	U+2AD19
𪵑	U+2AD51
𪵣	U+2AD63
𪵱	U+2AD71
𪶄	U+2AD84
𪶒	U+2AD92
𪶮	U+2ADAE
𪷍	U+2ADCD
𪷓	U+2ADD3
𪷽	U+2ADFD
𪸕	U+2AE15
𪸩	U+2AE29
𪹀	U+2AE40
𪹠	U+2AE60
𪹳	U+2AE73
𪹹	U+2AE79
𪺣	U+2AEA3
𪺪	U+2AEAA
𪺭	U+2AEAD
𪺷	U+2AEB7
𪺸	U+2AEB8
𪺻	U+2AEBB
𪺽	U+2AEBD
𪻐	U+2AED0
𪻨	U+2AEE8
𪻲	U+2AEF2
𪻺	U+2AEFA
𪼋	U+2AF0B
𪼴	U+2AF34
𪽈	U+2AF48
𪽝	U+2AF5D
𪽪	U+2AF6A
𪽭	U+2AF6D
𪽮	U+2AF6E
𪽴	U+2AF74
𪽷	U+2AF77
𪾔	U+2AF94
𪾢	U+2AFA2
𪾣	U+2AFA3
𪾦	U+2AFA6
𪾸	U+2AFB8
𪿊	U+2AFCA
𪿞	U+2AFDE
𪿫	U+2AFEB
𪿵	U+2AFF5
𫀌	U+2B00C
𫀓	U+2B013
𫀨	U+2B028
𫀬	U+2B02C
𫀮	U+2B02E
𫁂	U+2B042
𫁟	U+2B05F
𫁡	U+2B061
𫁱	U+2B071
𫁲	U+2B072
𫁳	U+2B073
𫁷	U+2B077
𫁺	U+2B07A
𫂃	U+2B083
𫂆	U+2B086
𫂈	U+2B088
𫂖	U+2B096
𫂿	U+2B0BF
𫃗	U+2B0D7
𫄙	U+2B119
𫄚	U+2B11A
𫄛	U+2B11B
𫄜	U+2B11C
𫄝	U+2B11D
𫄞	U+2B11E
𫄟	U+2B11F
𫄠	U+2B120
𫄡	U+2B121
𫄢	U+2B122
𫄣	U+2B123
𫄤	U+2B124
𫄥	U+2B125
𫄦	U+2B126
𫄧	U+2B127
𫄨	U+2B128
𫄩	U+2B129
𫄪	U+2B12A
𫄫	U+2B12B
𫄬	U+2B12C
𫄭	U+2B12D
𫄮	U+2B12E
𫄯	U+2B12F
𫄰	U+2B130
𫄱	U+2B131
𫄲	U+2B132
𫄳	U+2B133
𫄴	U+2B134
𫄵	U+2B135
𫄶	U+2B136
𫄷	U+2B137
𫄸	U+2B138
𫄹	U+2B139
𫅅	U+2B145
𫅗	U+2B157
𫅥	U+2B165
𫅭	U+2B16D
𫅼	U+2B17C
𫆏	U+2B18F
𫆝	U+2B19D
𫆫	U+2B1AB
𫇘	U+2B1D8
𫇛	U+2B1DB
𫇪	U+2B1EA
𫇭	U+2B1ED
𫇴	U+2B1F4
𫇽	U+2B1FD
𫈉	U+2B209
𫈎	U+2B20E
𫈟	U+2B21F
𫈵	U+2B235
𫉁	U+2B241
𫉄	U+2B244
𫊪	U+2B2AA
𫊮	U+2B2AE
𫊸	U+2B2B8
𫊹	U+2B2B9
𫊻	U+2B2BB
𫋇	U+2B2C7
𫋌	U+2B2CC
𫋲	U+2B2F2
𫋷	U+2B2F7
𫋹	U+2B2F9
𫋻	U+2B2FB
𫌀	U+2B300
𫌇	U+2B307
𫌋	U+2B30B
𫌨	U+2B328
𫌪	U+2B32A
𫌫	U+2B32B
𫌬	U+2B32C
𫌭	U+2B32D
𫌯	U+2B32F
𫍐	U+2B350
𫍙	U+2B359
𫍚	U+2B35A
𫍛	U+2B35B
𫍜	U+2B35C
𫍝	U+2B35D
𫍞	U+2B35E
𫍟	U+2B35F
𫍠	U+2B360
𫍡	U+2B361
𫍢	U+2B362
𫍣	U+2B363
𫍤	U+2B364
𫍥	U+2B365
𫍦	U+2B366
𫍧	U+2B367
𫍨	U+2B368
𫍩	U+2B369
𫍪	U+2B36A
𫍫	U+2B36B
𫍬	U+2B36C
𫍭	U+2B36D
𫍮	U+2B36E
𫍯	U+2B36F
𫍰	U+2B370
𫍱	U+2B371
𫍲	U+2B372
𫍳	U+2B373
𫍴	U+2B374
𫍵	U+2B375
𫍶	U+2B376
𫍷	U+2B377
𫍸	U+2B378
𫍹	U+2B379
𫍺	U+2B37A
𫍻	U+2B37B
𫍼	U+2B37C
𫍽	U+2B37D
𫍾	U+2B37E
𫍿	U+2B37F
𫎆	U+2B386
𫎌	U+2B38C
𫎦	U+2B3A6
𫎧	U+2B3A7
𫎨	U+2B3A8
𫎩	U+2B3A9
𫎪	U+2B3AA
𫎫	U+2B3AB
𫎬	U+2B3AC
𫎭	U+2B3AD
𫎱	U+2B3B1
𫎳	U+2B3B3
𫎸	U+2B3B8
𫎺	U+2B3BA
𫏃	U+2B3C3
𫏆	U+2B3C6
𫏋	U+2B3CB
𫏌	U+2B3CC
𫏐	U+2B3D0
𫏑	U+2B3D1
𫏕	U+2B3D5
𫏞	U+2B3DE
𫏨	U+2B3E8
𫐄	U+2B404
𫐅	U+2B405
𫐆	U+2B406
𫐇	U+2B407
𫐈	U+2B408
𫐉	U+2B409
𫐊	U+2B40A
𫐋	U+2B40B
𫐌	U+2B40C
𫐍	U+2B40D
𫐎	U+2B40E
𫐏	U+2B40F
𫐐	U+2B410
𫐑	U+2B411
𫐒	U+2B412
𫐓	U+2B413
𫐔	U+2B414
𫐕	U+2B415
𫐖	U+2B416
𫐗	U+2B417
𫐘	U+2B418
𫐙	U+2B419
𫐷	U+2B437
𫑘	U+2B458
𫑡	U+2B461
𫑷	U+2B477
𫒡	U+2B4A1
𫓥	U+2B4E5
𫓦	U+2B4E6
𫓧	U+2B4E7
𫓨	U+2B4E8
𫓩	U+2B4E9
𫓪	U+2B4EA
𫓫	U+2B4EB
𫓬	U+2B4EC
𫓭	U+2B4ED
𫓮	U+2B4EE
𫓯	U+2B4EF
𫓰	U+2B4F0
𫓱	U+2B4F1
𫓲	U+2B4F2
𫓳	U+2B4F3
𫓴	U+2B4F4
𫓵	U+2B4F5
𫓶	U+2B4F6
𫓷	U+2B4F7
𫓸	U+2B4F8
𫓹	U+2B4F9
𫓺	U+2B4FA
𫓻	U+2B4FB
𫓼	U+2B4FC
𫓽	U+2B4FD
𫓾	U+2B4FE
𫓿	U+2B4FF
𫔀	U+2B500
𫔁	U+2B501
𫔂	U+2B502
𫔃	U+2B503
𫔄	U+2B504
𫔅	U+2B505
𫔆	U+2B506
𫔇	U+2B507
𫔈	U+2B508
𫔉	U+2B509
𫔊	U+2B50A
𫔋	U+2B50B
𫔌	U+2B50C
𫔍	U+2B50D
𫔎	U+2B50E
𫔏	U+2B50F
𫔐	U+2B510
𫔑	U+2B511
𫔒	U+2B512
𫔓	U+2B513
𫔔	U+2B514
𫔕	U+2B515
𫔖	U+2B516
𫔭	U+2B52D
𫔮	U+2B52E
𫔯	U+2B52F
𫔰	U+2B530
𫔲	U+2B532
𫔴	U+2B534
𫔵	U+2B535
𫔶	U+2B536
𫔽	U+2B53D
𫕚	U+2B55A
𫕥	U+2B565
𫕨	U+2B568
𫖃	U+2B583
𫖅	U+2B585
𫖇	U+2B587
𫖑	U+2B591
𫖒	U+2B592
𫖓	U+2B593
𫖔	U+2B594
𫖕	U+2B595
𫖖	U+2B596
𫖪	U+2B5AA
𫖫	U+2B5AB
𫖬	U+2B5AC
𫖭	U+2B5AD
𫖮	U+2B5AE
𫖯	U+2B5AF
𫖰	U+2B5B0
𫖱	U+2B5B1
𫖲	U+2B5B2
𫖳	U+2B5B3
𫖴	U+2B5B4
𫖵	U+2B5B5
𫖶	U+2B5B6
𫖷	U+2B5B7
𫖸	U+2B5B8
𫖹	U+2B5B9
𫖺	U+2B5BA
𫗇	U+2B5C7
𫗈	U+2B5C8
𫗉	U+2B5C9
𫗊	U+2B5CA
𫗋	U+2B5CB
𫗚	U+2B5DA
𫗞	U+2B5DE
𫗟	U+2B5DF
𫗠	U+2B5E0
𫗡	U+2B5E1
𫗢	U+2B5E2
𫗣	U+2B5E3
𫗤	U+2B5E4
𫗥	U+2B5E5
𫗦	U+2B5E6
𫗧	U+2B5E7
𫗨	U+2B5E8
𫗩	U+2B5E9
𫗪	U+2B5EA
𫗫	U+2B5EB
𫗬	U+2B5EC
𫗭	U+2B5ED
𫗮	U+2B5EE
𫗯	U+2B5EF
𫗰	U+2B5F0
𫗱	U+2B5F1
𫗳	U+2B5F3
𫗴	U+2B5F4
𫗵	U+2B5F5
𫘛	U+2B61B
𫘜	U+2B61C
𫘝	U+2B61D
𫘞	U+2B61E
𫘟	U+2B61F
𫘠	U+2B620
𫘡	U+2B621
𫘣	U+2B623
𫘤	U+2B624
𫘥	U+2B625
𫘦	U+2B626
𫘧	U+2B627
𫘨	U+2B628
𫘩	U+2B629
𫘪	U+2B62A
𫘫	U+2B62B
𫘬	U+2B62C
𫘭	U+2B62D
𫘮	U+2B62E
𫘯	U+2B62F
𫘰	U+2B630
𫘱	U+2B631
𫘽	U+2B63D
𫙂	U+2B642
𫚈	U+2B688
𫚉	U+2B689
𫚊	U+2B68A
𫚋	U+2B68B
𫚌	U+2B68C
𫚍	U+2B68D
𫚎	U+2B68E
𫚏	U+2B68F
